course number,name,units,schedule,professor
29259,Film 110 TRU,3.0,T 8:30-11:30AM,"DE GUZMAN, ANNE MARIE"
29260,Film 110 TWX,3.0,T 1-4PM,"DE GUZMAN, ANNE MARIE"
29281,Film 112 HRU,3.0,Th 8:30-11:30AM,"SALIVA, RENANTE"
29276,Film 112 HYZ,3.0,Th 4-7PM,"DELA MERCED, MELISSA"
29257,Film 131 WWX,3.0,W 1-4PM,"DALENA, SARI RAISSA"
29252,Film 132 HWX,3.0,Th 1-4PM,"ARUMPAC, ADJANI"
29251,Film 132 TWX,3.0,T 1-4PM,"ARUMPAC, ADJANI"
29256,Film 133 FWX,3.0,F 1-4PM,"DALENA, SARI RAISSA"
29261,Film 133 HWX,3.0,Th 1-4PM,"DE GUZMAN, ANNE MARIE"
29278,Film 134 WRU,3.0,W 8:30-11:30AM,"QUESADA, BRYAN"
29267,Film 151 FRU,3.0,F 9AM-12PM,"ABRAHAN, GIANCARLO LAURO"
29268,Film 151 FWX,3.0,F 1-4PM,"ABRAHAN, GIANCARLO LAURO"
29280,Film 153 WWX,3.0,W 1-4PM,"SACRIS, LYLE EDWARD CARMELO"
29279,Film 154 HRU,3.0,Th 8:30-11:30AM,"QUESADA, BRYAN"
29275,Film 154 HWX,3.0,Th 1-4PM,"DELA MERCED, MELISSA"
29285,Film 156 WYZ,3.0,W 4-7PM,"RICIO, RODRIGO"
29272,Film 157 HWX,3.0,Th 1-4PM,"CLEMENTE, EMMANUEL"
29299,Film 157 MWX,3.0,M 1-4PM,"CLEMENTE, EMMANUEL"
29265,Film 158 TRU,3.0,T 8:30-11:30AM,"LEJANO, EDUARDO"
29270,Film 159 MRU,3.0,M 1-4PM,"BALBUENA, GRISKA BIANCA"
29271,Film 159 MYZ,3.0,M 4-7PM,"BALBUENA, GRISKA BIANCA"
29277,Film 171 HWX,3.0,Th 8:30-11:30AM,"PANGILINAN, CARLO GABRIEL"
29253,Film 171 TWX,3.0,T 1-4PM,"BOLISAY, RICHARD"
29254,Film 172 WRU,3.0,W 9AM-12PM,"BOLISAY, RICHARD"
29255,Film 172 WWX,3.0,W 1-4PM,"BOLISAY, RICHARD"
29263,Film 178 WWX,3.0,W 1-4PM,"DEOCAMPO, NICOLAS"
29300,Film 180 FWX,3.0,F 1-4PM,"BANAL, JASON"
29284,Film 180 WWX,3.0,W 1-4PM,"BANAL, JASON"
29283,Film 197 WYZ,3.0,W 4-7PM,"TORRES, JONATHAN"
29302,Film 198 SWX,3.0,S 1-4PM,"JAMON, ROEHL"
29298,Film 199 MRU,3.0,M 8:30-11:30AM,"ALFONSO, GRACE"
29286,Film 200 TBA,3.0,TBA,"BANAL, JASON"
29287,Film 200 TBA-1,3.0,TBA,"ARUMPAC, ADJANI"
29296,Film 200 TBA-10,3.0,TBA,"SANTIAGO, ARMINDA"
29297,Film 200 TBA-10,3.0,TBA,"TOLENTINO, ROLAND"
29288,Film 200 TBA-2,3.0,TBA,"BOLISAY, RICHARD"
29289,Film 200 TBA-3,3.0,TBA,"CAMPOS, PATRICK"
